"Gene","RefSeq","Exons testés","Exons Non 
Contributif 
(coverage < 
250x)*"
"KIT","NM_000222","8, 9, 11, 13, 14, 
17, 18",""
"KRAS","NM_033360","2-4",""
"MAP2K1","NM_002755","2",""
"MET","NM_001127500","2, 14-20",""
"NOTCH1","NM_017617","26, 27",""
"NRAS","NM_002524","2, 3, 4",""
"PDGFRA","NM_006206","12, 14, 18",""
"PIK3CA","NM_006218","9, 13, 20",""
"PTEN","NM_000314","1, 3, 6-8",""
"SMAD4","NM_005359","3, 5, 6, 8-10, 12",""
"STK11","NM_000455","1, 4-6, 8",""
"TP53","NM_000546","2, 4-8, 10",""
