"Gene","RefSeq","Exons testés","Exons Non 
Contributif 
(coverage < 
250x)*"
"AKT1","NM_05163","3",""
"ALK","NM_004304","22, 23, 24, 25",""
"BRAF","NM_004333","11,  15",""
"CTNNB1","NM_001904","3",""
"DDR2","NM_001014796","6, 9, 13-16, 18",""
"EGFR","NM_005228","12, 18-21",""
"ERBB2","NM_004448","19-21",""
"ERBB4","NM_005235","3, 4, 6-10, 12, 
15, 23",""
"FBXW7","NM_033632","5, 8-11","8"
"FGFR1","NM_023110","4, 7",""
"FGFR2","NM_022970","7, 9, 12, 14",""
"FGFR3","NM_000142","7, 9, 14, 16, 18",""
"HRAS","NM_005343","2, 3, 4",""
